"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"bea","Beaver","Eyak-Athabaskan","E-North-America",1.6935179233551,9.59981918334961,0,NA,NA,300,1842.500838,0,FALSE,NA,"450 semi-speakers"
"bee","Byangsi","Sino-Tibetan","Indic",NA,NA,0.020710058510304,0.566666662693024,10,1730,162.054006,0,TRUE,NA,""
"bef","Benabena","Trans-New-Guinea","Interior-New-Guinea",1.38490617275238,9.66261959075928,0,0,1,45000,748.8915979,0,FALSE,"abg",""
"bej","Bedawi","Afro-Asiatic","N-Africa",NA,NA,0,0.669809520244599,25,1109000,283589.7984,0,FALSE,NA,""
"bel","Belarusan","Indo-European","Inner-Asia",NA,NA,NA,0.75,4,6720000,207604.6622,1,FALSE,NA,""
"bem","Bemba","Niger-Congo","S-Africa",1.61484396457672,9.66797924041748,NA,NA,NA,3600000,122798.0485,1,FALSE,NA,""
"ben","Bengali","Indo-European","Indic",1.7346625328064,9.90998268127441,0.07342854142189,0.5,5,180623600,201287.6053,1,TRUE,NA,""
"bev","Daloa Bété","Niger-Congo","",NA,NA,0,0,1,130000,2004.354302,0,FALSE,NA,""
"bex","Jur Modo","Nilo-Saharan","African-Savannah",1.45739161968231,7.88262462615967,0,0.111111111938953,9,100000,4303.638162,0,FALSE,"gbn",""
"bfa","Bari","Nilo-Saharan","African-Savannah",NA,NA,0.267175585031509,0.493055552244186,7,480000,27818.79416,1,TRUE,"keo:kbo:mhi:mqu:lul",""
"bfd","Bafut","Niger-Congo","African-Savannah",1.67818605899811,8.62735080718994,0,NA,NA,105000,149.5092667,0,FALSE,"nge",""
"bfo","Malba Birifor","Niger-Congo","",1.60251915454865,6.96656703948975,0,NA,NA,108000,3179.718062,0,FALSE,NA,""
"bft","Balti","Sino-Tibetan","Indic",NA,NA,0,0.666666686534882,6,270000,4210.016043,0,FALSE,NA,""
"bfw","Bondo","Austro-Asiatic","",NA,NA,0,0.69696968793869,11,9000,456.2079837,0,FALSE,NA,""
"bgp","Eastern Balochi","Indo-European","",NA,NA,0,0.583333313465118,3,1800000,57314.92058,0,FALSE,NA,"Ethnologue says there are L2 speakers, but no numerical estimate is given"
"bgr","Bawm Chin","Sino-Tibetan","Indic",1.3990706205368,7.65395212173462,0,0.23083333671093,20,21520,2963.474897,0,FALSE,"pkh",""
"bgs","Tagabawa","Austronesian","",1.1920884847641,7.71294832229614,0,NA,NA,43000,240.6222323,0,FALSE,"obo",""
"bgz","Banggai","Austronesian","Oceania",1.45810902118683,9.12009906768799,0,NA,NA,125000,3025.952542,0,FALSE,NA,""
"bhg","Binandere","Trans-New-Guinea","S-New-Guinea",1.33227622509003,8.69151496887207,0,0.571428596973419,7,7000,3056.617449,0,FALSE,NA,""
"bhl","Bimin","Trans-New-Guinea","",1.14551913738251,8.78902530670166,0,NA,NA,2250,1045.199434,0,FALSE,NA,""
"bho","Bhojpuri","Indo-European","Indic",NA,NA,0.00403986312449,0.666666686534882,6,38210000,43331.48831,0,TRUE,"mai",""
"bhp","Bima","Austronesian","Southeast-Asia",1.39310348033905,8.76479816436768,0,NA,NA,500000,7033.888943,0,FALSE,NA,""
"bhq","Tukang Besi South","Austronesian","Oceania",NA,NA,0,0.409478008747101,26,130000,114.827674,0,FALSE,"xks",""
"bhw","Biak","Austronesian","N-Coast-New-Guinea",NA,NA,0,0.400000005960465,10,30000,4000.22992,0,FALSE,NA,""
"bia","Badimaya","Australian","S-Australia",NA,NA,0,0.666666686534882,3,20,12152.25096,0,FALSE,NA,"only 3 speakers left"
"bib","Bissa","Niger-Congo","African-Savannah",1.51110935211182,7.28131151199341,0,1,1,582000,6842.242348,0,FALSE,NA,""
"bid","Bidiyo","Afro-Asiatic","African-Savannah",NA,NA,0,1,2,14000,1387.862475,0,FALSE,NA,""
"big","Biangai","Trans-New-Guinea","",1.22768318653107,9.28970432281494,0,NA,NA,1400,606.7515643,0,FALSE,NA,""
"bim","Bimoba","Niger-Congo","African-Savannah",1.61141777038574,8.04751014709473,0,0.333333343267441,6,120000,1100.724315,0,FALSE,"maw",""
"bin","Edo","Niger-Congo","African-Savannah",NA,NA,0,0,3,1000000,8004.686373,0,FALSE,NA,""
"bio","Nai","Kwomtari","N-Coast-New-Guinea",NA,NA,0,0.833333313465118,6,600,167.1770167,0,FALSE,NA,""
"bip","Bila","Niger-Congo","",NA,NA,0,1,3,40000,8291.846393,0,FALSE,NA,""
"bis","Bislama","Creole","Oceania",1.16985833644867,6.68724346160889,NA,1,1,1200,13.98636353,1,FALSE,NA,""
"biv","Southern Birifor","Niger-Congo","",1.6022036075592,7.37332773208618,0,NA,NA,129310,3307.146488,0,FALSE,NA,""
